,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCHOOL REACH PROGRAM - DAILY VISIT REPORT,,,,,,,,,,,,,,,,,,,,,,,
Entry Timestamp,Visit Date,Executive Name,School Name,School Address / Area,Approx. No. of Students,Name of Person Met,Role / Designation,Role - Other / Specify,Contact Number / Phone,Email / Alternate Contact,Purpose / Program Pitched,Program Conducted?,Program Conducted - Specify,Lead Status,Follow-up Count,Follow-up 1 Date,Follow-up 2 Date,Follow-up 3 Date,Next Follow-up Date,Next Action,Final Outcome / Status,No. of KM Travelled,Amount Spent (₹),Remarks / Key Discussion,Next Action / Important Notes
19/08/2026 16:14,19/08/2026,Manikandan,DAV BOYS SENIOR SECONDARY SCHOOL,"120 Feet Road, Anna Nagar W Ext Rd, Mogappair, Chennai, Tamil Nadu 600050",,,,Admin Staff and Smt. S. Nandhini (principal),044-2453297,boys.mogappair@davchennai.org,Career Guidance,No,,Warm,,,,,24/08/2026,Call,Follow-up Required,,,waiting for correspondent approval ,next followup on monday principal not available
19/08/2026 16:14,19/08/2026,Peter,Dr. K. K. Nirmala Girls Higher Secondary School,"Sector 10, Sector 13, Ashok Nagar, Chennai, Greater Chennai, Tamil Nadu 600083",150,sis.shanthi ,Principal,Commerce Head Irin:9840501037,9345346586,kknirmala2009@gmail.com,Scholarship Exam,No,,Cold,,,,,,Send Proposal,Follow-up Required,12,0,she will let us know regarding the scholarship exam cause have to get approval from government and this school is running by government and she denied awarness  event ..,RNR on 24 aug
19/08/2026 16:14,19/08/2026,Peter,ANJUMAN,"No: 16, Dr B.N. Reddy Rd, off Vijayaraghava Road, Lakshimi Colony, T. Nagar, Chennai, Greater Chennai, Tamil Nadu 600017",75,Hemalatha ,Principal,,8825480090     9962300000,amhsschool@anjhimayath.com,Career Guidance,No,,Warm,,,,,,Send Proposal,Follow-up Required,5,0,"very positive , she will talk to her managemnet and let us know regarding to conduct both career guidance and talent exam ..",
19/08/2026 16:14,19/08/2026,Peter,Arbol international,"7/2, Chari St, T. Nagar, Chennai, Greater Chennai, Tamil Nadu 600017",,,Other,security,7305341125,admin@akshararbol.edu.in,,No,,Cold,,,,,20/08/2026,Proposal sent ,Follow-up Required,3.1,,,without appointment they will not allow inside the campus even to meet admin also ...
19/08/2026 16:14,19/08/2026,Peter,Holy Angels Anglo Indian Higher Secondary School,"26RR+FM2, Sir Thyagaraya Rd, T. Nagar, Chennai, Greater Chennai, Tamil Nadu 600017",,,Admin,,4428152505,holyangelsfmm@yahoo.co.in,,No,,Cold,,,,,20/08/2026,Proposal sent ,Follow-up Required,2,,,princiapl not available so  have to share mail 
19/08/2026 16:14,19/08/2026,Peter,Vidyodaya Schools,"No.1, Thirumalai Pillai Rd, Gangai Karai Puram, T. Nagar, Chennai, Greater Chennai, Tamil Nadu 600017",,Manju ,Admin,,4482340202,Vma@vidyodayaschools.in,Scholarship Exam,No,,Cold,,,,,20/08/2026,Proposal sent ,Follow-up Required,2.3,,,princiapl not available so  have to share mail 
19/08/2026 16:14,19/08/2026,Peter,Princess school,"37X6+VPX, 110, Pulianthope High Road, Pattalam, Choolai, Chennai, Greater Chennai, Tamil Nadu 600012",85,zakkir hussain,Correspondent,,9123505146,,Career Guidance,No,,Warm,,program confirmed call back sep 4th for date conformation,,,,Send Proposal,Interested,9,,"Ready for both event ,have to call on after 25th aug to confirm the event date for career guidance ..",ready for career guidance program call by next week sep5th
19/08/2026 16:14,19/08/2026,Peter,Measi school ,"53, Angappa Naicken St, Seethakadi Nagar, George Town, Chennai, Greater Chennai, Tamil Nadu 600001",150,sheik ,Director,Ashraf: Manager ,9444078584,,Career Guidance,Yes,,CONDUCTED,,,,,,Send Proposal,Interested,7,,call tomorrow for updates on 29th aug,intrested to conduct career guidance on 31st Aug at 2 pm and have to co ordinate with the manager 
